Habitat	Phyla	BiG.SCAPE_class	protein_number
Saline_alkaline	Desulfobacterota (481)	PKS-NRP_Hybrids	9
Saline_alkaline	Verrucomicrobiota (394)	PKS-NRP_Hybrids	9
Saline_alkaline	Actinobacteriota (381)	PKS-NRP_Hybrids	5
Saline_alkaline	Halobacteriota (354)	PKS-NRP_Hybrids	0
Saline_alkaline	Myxococcota (260)	PKS-NRP_Hybrids	7
Saline_alkaline	Chloroflexota (183)	PKS-NRP_Hybrids	2
Saline_alkaline	Cyanobacteria (159)	PKS-NRP_Hybrids	18
Saline_alkaline	Proteobacteria (2373)	PKSI	41
Saline_alkaline	Bacteroidota (1310)	PKSI	8
Saline_alkaline	Planctomycetota (490)	PKSI	32
Saline_alkaline	Desulfobacterota (481)	PKSI	27
Saline_alkaline	Verrucomicrobiota (394)	PKSI	6
Saline_alkaline	Actinobacteriota (381)	PKSI	19
Saline_alkaline	Halobacteriota (354)	PKSI	0
Saline_alkaline	Myxococcota (260)	PKSI	28
Saline_alkaline	Chloroflexota (183)	PKSI	5
Saline_alkaline	Cyanobacteria (159)	PKSI	5
Saline_alkaline	Proteobacteria (2373)	NRPS	220
Saline_alkaline	Bacteroidota (1310)	NRPS	79
Saline_alkaline	Planctomycetota (490)	NRPS	114
Saline_alkaline	Desulfobacterota (481)	NRPS	40
Saline_alkaline	Verrucomicrobiota (394)	NRPS	45
Saline_alkaline	Actinobacteriota (381)	NRPS	40
Saline_alkaline	Halobacteriota (354)	NRPS	0
Saline_alkaline	Myxococcota (260)	NRPS	39
Saline_alkaline	Chloroflexota (183)	NRPS	28
Saline_alkaline	Cyanobacteria (159)	NRPS	15
Acid	Proteobacteria (1827)	Others	519
Acid	Actinobacteriota (735)	Others	178
Acid	Acidobacteriota (595)	Others	29
Acid	Planctomycetota (292)	Others	64
Acid	Bacteroidota (191)	Others	29
Acid	Desulfobacterota (183)	Others	51
Acid	Nitrospirota (133)	Others	29
Acid	Myxococcota (117)	Others	33
Acid	Chloroflexota (113)	Others	10
Acid	Desulfobacterota_B (107)	Others	3
Acid	Proteobacteria (1827)	Terpene	484
Acid	Actinobacteriota (735)	Terpene	178
Acid	Acidobacteriota (595)	Terpene	156
Acid	Planctomycetota (292)	Terpene	111
Acid	Bacteroidota (191)	Terpene	67
Acid	Desulfobacterota (183)	Terpene	17
Acid	Nitrospirota (133)	Terpene	30
Acid	Myxococcota (117)	Terpene	9
Acid	Chloroflexota (113)	Terpene	30
Acid	Desulfobacterota_B (107)	Terpene	19
Acid	Proteobacteria (1827)	Saccharides	1
Acid	Actinobacteriota (735)	Saccharides	0
Acid	Acidobacteriota (595)	Saccharides	0
Acid	Planctomycetota (292)	Saccharides	0
Acid	Bacteroidota (191)	Saccharides	0
Acid	Desulfobacterota (183)	Saccharides	0
Acid	Nitrospirota (133)	Saccharides	0
Acid	Myxococcota (117)	Saccharides	0
Acid	Chloroflexota (113)	Saccharides	0
Acid	Desulfobacterota_B (107)	Saccharides	0
Acid	Proteobacteria (1827)	RiPPs	459
Acid	Actinobacteriota (735)	RiPPs	182
Acid	Acidobacteriota (595)	RiPPs	131
Acid	Planctomycetota (292)	RiPPs	29
Acid	Bacteroidota (191)	RiPPs	44
Acid	Desulfobacterota (183)	RiPPs	54
Acid	Nitrospirota (133)	RiPPs	28
Acid	Myxococcota (117)	RiPPs	40
Acid	Chloroflexota (113)	RiPPs	31
Acid	Desulfobacterota_B (107)	RiPPs	47
Acid	Proteobacteria (1827)	PKSother	66
Acid	Actinobacteriota (735)	PKSother	46
Acid	Acidobacteriota (595)	PKSother	81
Acid	Planctomycetota (292)	PKSother	47
Acid	Bacteroidota (191)	PKSother	25
Acid	Desulfobacterota (183)	PKSother	26
Acid	Nitrospirota (133)	PKSother	7
Acid	Myxococcota (117)	PKSother	16
Acid	Chloroflexota (113)	PKSother	8
Acid	Desulfobacterota_B (107)	PKSother	14
Acid	Proteobacteria (1827)	PKS-NRP_Hybrids	39
Acid	Actinobacteriota (735)	PKS-NRP_Hybrids	9
Acid	Acidobacteriota (595)	PKS-NRP_Hybrids	33
Acid	Planctomycetota (292)	PKS-NRP_Hybrids	1
Acid	Bacteroidota (191)	PKS-NRP_Hybrids	1
Acid	Desulfobacterota (183)	PKS-NRP_Hybrids	3
Acid	Nitrospirota (133)	PKS-NRP_Hybrids	0
Acid	Myxococcota (117)	PKS-NRP_Hybrids	0
Acid	Chloroflexota (113)	PKS-NRP_Hybrids	1
Acid	Desulfobacterota_B (107)	PKS-NRP_Hybrids	3
Acid	Proteobacteria (1827)	PKSI	49
Acid	Actinobacteriota (735)	PKSI	40
Acid	Acidobacteriota (595)	PKSI	9
Acid	Planctomycetota (292)	PKSI	10
Acid	Bacteroidota (191)	PKSI	1
Acid	Desulfobacterota (183)	PKSI	11
Acid	Nitrospirota (133)	PKSI	4
Acid	Myxococcota (117)	PKSI	3
Acid	Chloroflexota (113)	PKSI	3
Acid	Desulfobacterota_B (107)	PKSI	0
Acid	Proteobacteria (1827)	NRPS	210
Acid	Actinobacteriota (735)	NRPS	102
Acid	Acidobacteriota (595)	NRPS	156
Acid	Planctomycetota (292)	NRPS	30
Acid	Bacteroidota (191)	NRPS	24
Acid	Desulfobacterota (183)	NRPS	21
Acid	Nitrospirota (133)	NRPS	35
